,ts_code,trade_date,close,open,high,low,change,vol,amount
14,600862.SH,20180228,8.39,9.0,9.08,7.32,-0.59,79075593.0,642746568.0
15,600862.SH,20180131,8.98,9.68,9.96,8.95,-0.7,120724023.0,1147026245.0
0,300581.SZ,20190430,14.03,16.6,18.58,13.88,-2.44,56657336.0,931052172.3
1,300581.SZ,20190329,16.47,15.51,17.9,14.83,0.97,101451843.0,1634112853.6
2,300581.SZ,20190228,15.5,12.93,16.44,12.84,2.58,62510016.0,904099281.35
3,300581.SZ,20190131,12.92,12.02,14.7,12.01,0.78,55986631.0,762288283.06
4,300581.SZ,20181228,12.14,12.9,13.52,11.96,-0.36,32039422.0,413036363.13
5,300581.SZ,20181130,12.5,12.75,14.63,12.1,-0.34,57214698.0,747755344.64
6,300581.SZ,20181031,12.84,12.05,13.2,10.3,0.41,54432977.0,662284561.22
7,300581.SZ,20180928,12.43,11.43,14.0,11.23,0.99,62820073.0,807671937.02
8,300581.SZ,20180831,11.44,13.14,13.27,10.7,-1.7,32600911.0,374213669.86
9,300581.SZ,20180731,13.14,14.95,15.49,12.9,-1.68,42987240.0,613715301.78
10,300581.SZ,20180629,14.82,28.94,31.4,13.22,-14.33,25331313.0,584863729.7
11,300581.SZ,20180531,29.15,30.39,34.0,28.52,-1.22,23239307.0,740450386.1
12,300581.SZ,20180427,30.37,31.72,37.25,29.7,-1.35,46673816.0,1572515546.48
13,300581.SZ,20180330,31.72,26.88,34.13,26.63,4.45,49622552.0,1500014944.99
14,300581.SZ,20180228,27.27,29.48,29.65,22.87,-2.21,13859261.0,364486567.57
15,300581.SZ,20180131,29.48,30.76,35.77,27.99,-1.13,30482937.0,996989350.88
0,002413.SZ,20190430,6.38,7.4,8.11,6.27,-1.0,433082866.0,3243484534.02
1,002413.SZ,20190329,7.38,6.92,8.18,6.69,0.46,715717262.0,5332332807.17
2,002413.SZ,20190228,6.92,5.41,6.96,5.4,1.49,435557121.0,2731223327.71
3,002413.SZ,20190131,5.43,5.34,6.2,5.2,0.08,395964953.0,2302503748.22
4,002413.SZ,20181228,5.35,5.66,5.76,5.06,-0.2,143576447.0,785381963.57
5,002413.SZ,20181130,5.55,5.73,6.36,5.34,-0.16,241431182.0,1419300241.61
6,002413.SZ,20181031,5.71,5.7,5.89,4.48,-0.22,174580248.0,937961967.02
7,002413.SZ,20180928,5.93,5.65,6.14,5.48,0.34,117746325.0,690730857.89
8,002413.SZ,20180831,5.59,6.75,7.2,5.48,-1.25,332762527.0,2070240347.93
9,002413.SZ,20180731,6.84,5.42,7.12,5.3,1.45,500728429.0,3088870604.95
10,002413.SZ,20180629,5.39,6.89,6.89,4.7,-2.26,322342395.0,1824232190.72
11,002413.SZ,20180531,7.65,8.54,9.39,7.65,-0.89,203088119.0,1788344929.97
12,002413.SZ,20180228,8.54,9.4,9.55,8.54,-0.95,26637679.0,231679330.68
13,002413.SZ,20180131,9.49,9.96,10.32,9.23,-0.51,67399995.0,657306663.06
0,002933.SZ,20190430,44.22,54.45,58.54,43.0,-9.76,49825631.0,2609790190.83
